Deal Type;Announce Date;Target Name;Acquirer Name;Seller Name;Announced Total Value (mil.);Payment Type;TV/EBITDA;Deal Status;Nature of Bid;Target ISIN;Acquirer ISIN;Competing Bid Premium;Premium to 1-Month Avg Px (%);Percent Sought;Percent Owned;Net Debt
M&A;27/01/2005;Rexel SA/Old;Merrill Lynch & Co Inc,Eurazeo SE,Clayton Dubilier & Rice LLC (Fund: Clayton Dubilier & Rice Fund VI LP);;892.51;Cash;6.72;Completed;Friendly;FR0000125957;;0.0000;24.4003;26.549999;73.449997;0.000000
M&A;27/01/2005;Danisco US Inc/California;DuPont Nutrition Biosciences ApS;Eastman Chemical Co;419.00;Cash;16.03;Completed;;US3687091013;DK0010207497;0.0000;;41.903000;41.903000;0.000000
M&A;27/01/2005;BreakFree Ltd;Octaviar Ltd;;175.48;Stock;17.34;Completed;Friendly;N.A.;AU000000OCV6;0.0000;6.77775;81.620003;18.379999;40.981998
M&A;27/01/2005;August Technology Corp;Rudolph Technologies Inc;;133.46;Cash or Stock;41.51;Completed;Friendly;N.A.;US7812701032;0.0000;0;100.000000;0.000000;-53.555000
M&A;27/01/2005;Tokai Aluminum Foil Co Ltd;Nippon Light Metal Co Ltd;;96.32;Cash;13.83;Completed;Friendly;JP3560700001;JP3700000007;0.0000;0;34.400002;18.700001;9288.000000
INV;27/01/2005;Mitsubishi Jisho Residence Co Ltd;Mitsubishi Estate Co Ltd;;86.26;Cash;1.45;Completed;Friendly;JP3623000001;JP3899600005;0.0000;-33.0412;33.400002;0.000000;0.000000
M&A;27/01/2005;Yokohama Chikagai Co Ltd;Sotetsu Holdings Inc;;17.53;Stock;2.54;Completed;Friendly;JP3956000008;JP3316400005;0.0000;13.9683;33.299999;66.699997;0.000000
M&A;27/01/2005;Sotetsu Kigyo Co Ltd;Sotetsu Holdings Inc;;13.25;Stock;9.74;Completed;Friendly;JP3432800005;JP3316400005;0.0000;13.85;28.600000;71.400002;0.000000
M&A;27/01/2005;Midland IC&I Ltd;Midland Holdings Ltd;;11.33;Cash; ;Completed;Friendly;KYG6103P1182;BMG4491W1001;0.0000;-47.7683;51.810001;0.000000;-19.122999
M&A;28/01/2005;Gillette Co/The;Procter & Gamble Co/The;;57278.56;Stock;18.63;Completed;Friendly;US3757661026;US7427181091;0.0000;-1.17181;100.000000;0.000000;2441.000000
M&A;28/01/2005;Virgin Australia Holdings Ltd;PRK Corp Pty Ltd;;648.60;Cash;7.83;Completed;Hostile;AU000000VAH4;AU000000PRK4;0.0000;43.8148;42.110001;45.400002;0.000000
M&A;28/01/2005;World Duty Free Group Espana SA;Autogrill SpA;;612.91;Cash;31.16;Completed;Friendly;ES0107926018;IT0001137345;0.0000;16.4735;26.400000;34.599998;-31.944000
M&A;28/01/2005;Iwataya Mitsukoshi Ltd;Isetan Co Ltd;;312.27;Cash;10.70;Completed;Friendly;JP3152000000;JP3140000005;0.0000;-25.9965;25.150000;17.709999;29300.000000
M&A;30/01/2005;Pulitzer Inc;Lee Enterprises Inc;;1517.00;Cash;17.39;Completed;Friendly;US7457691092;US5237681094;0.0000;1.01921;100.000000;0.000000;96.330002
M&A;31/01/2005;AT&T Corp;AT&T Inc;;22332.17;Stock;3.46;Completed;Friendly;US0019575051;US00206R1023;0.0000;-29.8431;100.000000;0.000000;6967.000000
